p, s, t
1, 3.141592653590, 0.000861
1, 3.141592653590, 0.000835
1, 3.141592653590, 0.000819
1, 3.141592653590, 0.000818
1, 3.141592653590, 0.000798
2, 3.141592653590, 0.000425
2, 3.141592653590, 0.000424
2, 3.141592653590, 0.000423
2, 3.141592653590, 0.000414
2, 3.141592653590, 0.000429
3, 3.141592653590, 0.000289
3, 3.141592653590, 0.000276
3, 3.141592653590, 0.000290
3, 3.141592653590, 0.000283
3, 3.141592653590, 0.000277
4, 3.141592653590, 0.000228
4, 3.141592653590, 0.000230
4, 3.141592653590, 0.000228
4, 3.141592653590, 0.000232
4, 3.141592653590, 0.000235
5, 3.141592653590, 0.000190
5, 3.141592653590, 0.000202
5, 3.141592653590, 0.000193
5, 3.141592653590, 0.000194
5, 3.141592653590, 0.000191
6, 3.141592653590, 0.000164
6, 3.141592653590, 0.000167
6, 3.141592653590, 0.000159
6, 3.141592653590, 0.000168
6, 3.141592653590, 0.000170
7, 3.141592653590, 0.000154
7, 3.141592653590, 0.000151
7, 3.141592653590, 0.000148
7, 3.141592653590, 0.000162
7, 3.141592653590, 0.000158
8, 3.141592653590, 0.000142
8, 3.141592653590, 0.000136
8, 3.141592653590, 0.000137
8, 3.141592653590, 0.000135
8, 3.141592653590, 0.000139
9, 3.141592653590, 0.000122
9, 3.141592653590, 0.000134
9, 3.141592653590, 0.000134
9, 3.141592653590, 0.000133
9, 3.141592653590, 0.000121
10, 3.141592653590, 0.000124
10, 3.141592653590, 0.000120
10, 3.141592653590, 0.000124
10, 3.141592653590, 0.000117
10, 3.141592653590, 0.000126
11, 3.141592653590, 0.000117
11, 3.141592653590, 0.000125
11, 3.141592653590, 0.000119
11, 3.141592653590, 0.000113
11, 3.141592653590, 0.000114
12, 3.141592653590, 0.000105
12, 3.141592653590, 0.000113
12, 3.141592653590, 0.000113
12, 3.141592653590, 0.000109
12, 3.141592653590, 0.000112
13, 3.141592653590, 0.000110
13, 3.141592653590, 0.000110
13, 3.141592653590, 0.000107
13, 3.141592653590, 0.000121
13, 3.141592653590, 0.000108
14, 3.141592653590, 0.000117
14, 3.141592653590, 0.000106
14, 3.141592653590, 0.000112
14, 3.141592653590, 0.000108
14, 3.141592653590, 0.000107
15, 3.141592653590, 0.000115
15, 3.141592653590, 0.000122
15, 3.141592653590, 0.000105
15, 3.141592653590, 0.000113
15, 3.141592653590, 0.000110
16, 3.141592653590, 0.000106
16, 3.141592653590, 0.000111
16, 3.141592653590, 0.000106
16, 3.141592653590, 0.000114
16, 3.141592653590, 0.000106
